NAME                 VERSION                            TYPE   
adduser              3.129ubuntu1                       deb     
apt                  2.6.0ubuntu0.1                     deb     
apt-utils            2.6.0ubuntu0.1                     deb     
base-files           12.3ubuntu2                        deb     
base-passwd          3.6.1                              deb     
bash                 5.2.15                             binary  
bash                 5.2.15-2ubuntu1                    deb     
bsdutils             1:2.38.1-4ubuntu1                  deb     
ca-certificates      20230311ubuntu0.23.04.1            deb     
coreutils            9.1-1ubuntu2                       deb     
curl                 7.88.1-8ubuntu2.3                  deb     
dash                 0.5.12-2ubuntu1                    deb     
debconf              1.5.82                             deb     
debianutils          5.7-0.4                            deb     
diffutils            1:3.8-4                            deb     
dirmngr              2.2.40-1.1ubuntu1                  deb     
dpkg                 1.21.21ubuntu1                     deb     
e2fsprogs            1.47.0-1ubuntu1                    deb     
findutils            4.9.0-3ubuntu1                     deb     
gcc-13-base          13-20230320-1ubuntu1               deb     
gnupg                2.2.40-1.1ubuntu1                  deb     
gnupg-l10n           2.2.40-1.1ubuntu1                  deb     
gnupg-utils          2.2.40-1.1ubuntu1                  deb     
gpg                  2.2.40-1.1ubuntu1                  deb     
gpg-agent            2.2.40-1.1ubuntu1                  deb     
gpg-wks-client       2.2.40-1.1ubuntu1                  deb     
gpg-wks-server       2.2.40-1.1ubuntu1                  deb     
gpgconf              2.2.40-1.1ubuntu1                  deb     
gpgsm                2.2.40-1.1ubuntu1                  deb     
gpgv                 2.2.40-1.1ubuntu1                  deb     
grep                 3.8-5                              deb     
gzip                 1.12-1ubuntu1                      deb     
hostname             3.23+nmu1ubuntu1                   deb     
init-system-helpers  1.65.2                             deb     
jq                   1.6-2.1ubuntu3                     deb     
krb5-locales         1.20.1-1build1                     deb     
libacl1              2.3.1-3                            deb     
libapt-pkg6.0        2.6.0ubuntu0.1                     deb     
libassuan0           2.5.5-5                            deb     
libattr1             1:2.5.1-4                          deb     
libaudit-common      1:3.0.9-1                          deb     
libaudit1            1:3.0.9-1                          deb     
libblkid1            2.38.1-4ubuntu1                    deb     
libbrotli1           1.0.9-2build8                      deb     
libbz2-1.0           1.0.8-5build1                      deb     
libc-bin             2.37-0ubuntu2.1                    deb     
libc6                2.37-0ubuntu2.1                    deb     
libcap-ng0           0.8.3-1build2                      deb     
libcap2              1:2.66-3ubuntu2.1                  deb     
libcom-err2          1.47.0-1ubuntu1                    deb     
libcrypt1            1:4.4.33-2                         deb     
libcurl4             7.88.1-8ubuntu2.3                  deb     
libdb5.3             5.3.28+dfsg2-1                     deb     
libdebconfclient0    0.267ubuntu1                       deb     
libext2fs2           1.47.0-1ubuntu1                    deb     
libffi8              3.4.4-1                            deb     
libgcc-s1            13-20230320-1ubuntu1               deb     
libgcrypt20          1.10.1-3ubuntu1                    deb     
libgmp10             2:6.2.1+dfsg1-1.1ubuntu1           deb     
libgnutls30          3.7.8-5ubuntu1                     deb     
libgpg-error0        1.46-1                             deb     
libgssapi-krb5-2     1.20.1-1build1                     deb     
libhogweed6          3.8.1-2                            deb     
libidn2-0            2.3.3-1build1                      deb     
libjq1               1.6-2.1ubuntu3                     deb     
libk5crypto3         1.20.1-1build1                     deb     
libkeyutils1         1.6.3-2                            deb     
libkrb5-3            1.20.1-1build1                     deb     
libkrb5support0      1.20.1-1build1                     deb     
libksba8             1.6.3-2                            deb     
libldap-common       2.6.3+dfsg-1~exp1ubuntu2           deb     
libldap2             2.6.3+dfsg-1~exp1ubuntu2           deb     
liblz4-1             1.9.4-1                            deb     
liblzma5             5.4.1-0.2                          deb     
libmd0               1.0.4-2                            deb     
libmount1            2.38.1-4ubuntu1                    deb     
libncursesw6         6.4-2ubuntu0.1                     deb     
libnettle8           3.8.1-2                            deb     
libnghttp2-14        1.52.0-1                           deb     
libnpth0             1.6-3build2                        deb     
libonig5             6.9.8-1                            deb     
libp11-kit0          0.24.1-2ubuntu1                    deb     
libpam-modules       1.5.2-5ubuntu1                     deb     
libpam-modules-bin   1.5.2-5ubuntu1                     deb     
libpam-runtime       1.5.2-5ubuntu1                     deb     
libpam0g             1.5.2-5ubuntu1                     deb     
libpcre2-8-0         10.42-1                            deb     
libproc2-0           2:4.0.3-1ubuntu1                   deb     
libpsl5              0.21.2-1                           deb     
libreadline8         8.2-1.3                            deb     
librtmp1             2.4+20151223.gitfa8646d.1-2build4  deb     
libsasl2-2           2.1.28+dfsg-10                     deb     
libsasl2-modules     2.1.28+dfsg-10                     deb     
libsasl2-modules-db  2.1.28+dfsg-10                     deb     
libseccomp2          2.5.4-1ubuntu3                     deb     
libselinux1          3.4-1build4                        deb     
libsemanage-common   3.4-1build4                        deb     
libsemanage2         3.4-1build4                        deb     
libsepol2            3.4-2                              deb     
libsmartcols1        2.38.1-4ubuntu1                    deb     
libsqlite3-0         3.40.1-1                           deb     
